id,x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
alessandra,-242,-63,20,35,32,263,10
alessandra,-245,-36,-20,35,33,262,10
alessandra,-199,-51,-153,-36,-41,261,10
alessandra,-121,-117,-163,-202,-76,103,10
alessandra,-55,-149,-204,-205,45,-91,10
alessandra,71,-199,-153,-21,-84,-245,10
alessandra,99,-188,-141,-125,-103,-197,10
alessandra,33,-184,-171,-204,-90,-65,10
alessandra,44,-209,-133,-185,-103,-138,10
alessandra,63,-228,-81,-189,-84,-134,10
alessandra,138,-210,-47,-15,-109,-231,10
alessandra,224,-138,-61,-25,-103,-235,10
alessandra,206,-135,-76,-34,-47,-236,10
alessandra,211,-140,-34,-55,-78,-231,10
alessandra,187,-174,37,-64,-77,-231,10
alessandra,248,-84,-41,-25,-23,-232,10
alessandra,253,-62,4,3,-54,-229,10
alessandra,250,-9,-51,-38,-72,-238,10
alessandra,251,-49,-37,-28,-70,-243,10
alessandra,247,-54,-47,-46,-67,-239,10
alessandra,249,-51,-47,-20,-70,-242,10
alessandra,249,-49,-48,-16,-69,-242,10
alessandra,251,-48,-42,-18,-70,-242,10
alessandra,250,-46,-46,-18,-70,-242,10
alessandra,251,-47,-43,-18,-70,-242,10
alessandra,250,-48,-46,-19,-70,-242,10
alessandra,250,-48,-42,-18,-70,-242,10
alessandra,250,-47,-47,-19,-70,-242,10
alessandra,251,-47,-44,-20,-70,-242,10
alessandra,251,-45,-43,-20,-70,-242,10
alessandra,250,-48,-46,-19,-70,-242,10
alessandra,250,-49,-46,-19,-70,-242,10
alessandra,251,-48,-40,-18,-70,-242,10
alessandra,250,-48,-45,-19,-70,-242,10
alessandra,251,-48,-41,-19,-70,-242,10
alessandra,249,-49,-46,-19,-70,-242,10
alessandra,251,-49,-40,-19,-70,-241,10
alessandra,249,-50,-46,-22,-70,-241,10
alessandra,250,-48,-44,-17,-69,-242,10
alessandra,251,-45,-44,-17,-70,-242,10
alessandra,250,-46,-47,-18,-69,-242,10
alessandra,252,-44,-37,-16,-69,-242,10
alessandra,250,-46,-47,-16,-69,-242,10
alessandra,251,-46,-37,-15,-70,-242,10
alessandra,250,-47,-46,-15,-70,-242,10
alessandra,252,-48,-36,-15,-70,-243,10
alessandra,250,-48,-44,-15,-70,-242,10
alessandra,251,-47,-38,-14,-70,-242,10
alessandra,250,-49,-43,-15,-69,-242,10
alessandra,250,-48,-45,-14,-69,-242,10
alessandra,251,-49,-37,-14,-70,-242,10
alessandra,250,-49,-44,-14,-69,-243,10
alessandra,250,-50,-44,-14,-69,-243,10
alessandra,250,-50,-42,-14,-70,-242,10
alessandra,251,-49,-37,-13,-69,-242,10
alessandra,250,-50,-42,-13,-69,-242,10
alessandra,252,-50,-35,-12,-69,-243,10
alessandra,250,-51,-43,-13,-70,-242,10
alessandra,250,-50,-42,-13,-70,-243,11
alessandra,251,-50,-38,-12,-69,-242,11
alessandra,247,-36,-62,-68,-57,-233,11
alessandra,246,-27,-68,-95,-100,-232,11
